customer_id,name,location,phone,email,signup_date,is_premium,preferred_cuisine,total_orders,average_rating
1,Xiti Oommen,"79/06
Tella Chowk, Chapra-882609",03811106686,shettyyashodhara@example.org,2024-10-24,False,Italian,3,5
2,Farhan Swaminathan,"153, Mahajan Zila
Kurnool-808390",+917112537055,lukechawla@example.org,2024-03-21,False,Mexican,6,2
3,Faqid Dyal,"664
Dutta Ganj
Tadepalligudem 820291",08424971040,qdass@example.org,2024-01-25,False,American,9,5
4,Saumya Patil,"667, Saini Chowk
Mumbai 919975",+914539361529,ekajakunda@example.net,2024-03-26,False,American,11,2
5,Anika Patil,"73/619
Swaminathan Street, Bokaro 246219",+913263018409,calebwali@example.net,2024-11-06,True,Japanese,4,1
6,Vasana Tank,"19/60, Dhingra Road, Gwalior 733990",01399525211,maanastalwar@example.org,2024-05-24,False,Indian,5,5
7,Fariq Mody,"03
Brar Ganj
Panvel 226830",00968912273,oshasani@example.org,2024-10-06,False,Japanese,10,5
8,Varenya Ghose,"308, Ganguly Ganj, Dhanbad-072919",4148415258,battadominic@example.org,2024-03-28,False,Thai,8,2
9,Udant Raj,"H.No. 74
Munshi Marg
Morbi 030104",+911976722239,patelbenjamin@example.org,2024-08-06,True,Japanese,1,5
10,Ranbir Comar,"H.No. 65, Mitra
Sambhal-563249",+915019668601,libni96@example.net,2024-05-25,False,American,11,3
11,Joshua Badami,"H.No. 784, Nadig Circle
Varanasi 471248",+919032889204,harrison65@example.org,2024-02-06,True,Indian,0,1
12,Rachit Nair,"H.No. 128, Pall Path
Tezpur 366469",05252727823,maxpuri@example.net,2024-06-12,True,French,11,4
13,Aarna Karan,"78, Sem Ganj
Patna 902044",1588680739,falakbasak@example.org,2024-06-01,True,Japanese,10,4
14,Vedant Narain,"330, Dixit Path
Korba-032923",1958582879,labanmangat@example.com,2024-08-31,True,Indian,5,4
15,Warhi Kumar,"546, Varkey Marg, Ghaziabad 129831",+911564646710,vedasarkar@example.net,2024-08-19,False,Indian,3,1
16,Udyati Padmanabhan,"79/383, Dasgupta Zila, Ballia-998964",8366085461,tanaypall@example.com,2024-02-28,False,Thai,8,3
17,Pratyush Wali,"37
Merchant Zila
Ambattur 570428",+912354368502,ipathak@example.org,2024-10-10,False,American,4,3
18,Daksh Halder,"79
Khanna Circle, Gandhinagar 693712",1622960823,chaudryanusha@example.com,2024-08-12,True,Indian,10,3
19,Siya Vig,"H.No. 21
Madan Circle, Patna-503599",+913210706857,yadavi47@example.net,2024-06-01,True,Italian,11,1
20,Isaac Srinivas,"042
Ganesh Ganj
Jalandhar 868242",+914459963466,vedaray@example.net,2024-11-12,True,American,1,3
21,Siya Goyal,"96/93
Chakrabarti
Erode-435724",05107456678,bavayauvani@example.net,2024-06-22,True,French,0,5
22,Manbir Pingle,"96/06
Sharma Road, Kakinada-185420",03119858795,girish60@example.com,2024-11-02,False,Italian,1,4
23,Liam Goyal,"56, Dass Nagar
Bhilai-888418",4289624307,gabaleena@example.net,2024-01-05,True,Mexican,11,3
